AT2G38340	Carub.0004s2032
AT1G22200	Carub.0001s2175
AT1G22210	Carub.0001s2176
AT1G22220	Carub.0001s2177
AT1G22230	Carub.0001s2178
AT1G22240	Carub.0001s2179
AT1G57790	Carub.0002s0673
AT1G76570	Carub.0002s0674
AT1G57850	Carub.0002s0670
AT1G57770	Carub.0002s0679
AT1G22250	Carub.0001s2180
AT1G57780	Carub.0002s0676
AT1G22270	Carub.0001s2182
AT1G22310	Carub.0001s2186
AT1G22330	Carub.0001s2187
AT1G22360	Carub.0001s2189
AT1G73140	Carub.0002s1991
AT1G58025	Carub.0002s0660
AT1G73150	Carub.0002s1992
AT1G73160	Carub.0002s1993
AT1G58007	Carub.0002s0662
AT1G73165	Carub.0002s1994
AT1G57990	Carub.0002s0663
AT1G73130	Carub.0002s1990
AT1G73200	Carub.0002s1999
AT1G73170	Carub.0002s1995
AT1G22370	Carub.0001s2191
AT1G73177	Carub.0002s1996
AT1G73180	Carub.0002s1997
AT1G22400	Carub.0001s2193
AT1G73190	Carub.0002s1998
AT1G22410	Carub.0001s2194
AT1G57870	Carub.0002s0667
AT1G22420	Carub.0001s2195
AT1G22430	Carub.0001s2196
AT1G22440	Carub.0001s2197
AT1G22450	Carub.0001s2198
AT1G22460	Carub.0001s2199
AT1G57680	Carub.0002s0693
AT1G57700	Carub.0002s0690
AT5G52320	Carub.0002s0683
AT1G57765	Carub.0002s0680
AT1G57750	Carub.0002s0681
AT1G57720	Carub.0002s0688
AT1G44090	Carub.0001s3500
AT1G44100	Carub.0001s3501
AT1G44110	Carub.0001s3502
AT1G44120	Carub.0001s3504
AT1G44130	Carub.0001s3505
AT5G57190	Carub.0008s1770
AT5G57210	Carub.0008s1772
AT1G44160	Carub.0001s3508
AT5G57200	Carub.0008s1771
AT3G26850	Carub.0005s0496
AT1G44170	Carub.0001s3509
AT5G44200	Carub.0008s0432
AT5G57123	Carub.0008s1763
AT2G24870	Carub.0005s0497
AT5G44210	Carub.0008s0431
AT5G57120	Carub.0008s1762
AT5G44180	Carub.0008s0434
AT5G57140	Carub.0008s1765
AT5G44190	Carub.0008s0433
AT5G57130	Carub.0008s1764
AT5G44160	Carub.0008s0436
AT5G57160	Carub.0008s1767
AT5G44170	Carub.0008s0435
AT5G57150	Carub.0008s1766
AT3G26890	Carub.0005s0498
AT5G57180	Carub.0008s1769
AT3G26900	Carub.0005s0499
AT5G44150	Carub.0008s0437
AT5G57170	Carub.0008s1768
AT5G44130	Carub.0008s0439
AT1G44180	Carub.0001s3512
AT1G44191	Carub.0001s3513
AT1G44224	Carub.0001s3514
AT1G44318	Carub.0001s3515
AT1G44350	Carub.0001s3516
AT1G44414	Carub.0001s3518
AT5G60350	Carub.0008s0430
AT1G44446	Carub.0001s3519
AT5G57100	Carub.0008s1760
AT5G44310	Carub.0008s0421
AT5G57020	Carub.0008s1752
AT5G57015	Carub.0008s1751
AT5G44290	Carub.0008s0423
AT5G57035	Carub.0008s1754
AT5G44300	Carub.0008s0422
AT5G57030	Carub.0008s1753
AT5G44265	Carub.0008s0425
AT5G57050	Carub.0008s1756
AT5G44280	Carub.0008s0424
AT5G57040	Carub.0008s1755
AT5G44250	Carub.0008s0427
AT5G57070	Carub.0008s1758
AT5G44260	Carub.0008s0426
AT5G57060	Carub.0008s1757
AT5G44230	Carub.0008s0429
AT5G44240	Carub.0008s0428
AT5G57090	Carub.0008s1759
AT1G44542	Carub.0001s3520
AT1G44575	Carub.0001s3521
AT1G44608	Carub.0001s3524
AT3G26770	Carub.0005s0481
AT1G44750	Carub.0001s3527
AT1G44760	Carub.0001s3528
AT1G44770	Carub.0001s3529
AT5G57010	Carub.0008s1750
AT3G26760	Carub.0005s0480
AT5G56930	Carub.0008s1741
AT5G44370	Carub.0008s0410
AT3G26720	Carub.0005s0472
AT5G56950	Carub.0008s1743
AT5G44350	Carub.0008s0412
AT3G26730	Carub.0005s0473
AT5G56940	Carub.0008s1742
AT5G44360	Carub.0008s0411
AT3G26744	Carub.0005s0478
AT5G56970	Carub.0008s1745
AT5G44330	Carub.0008s0414
AT5G56960	Carub.0008s1744
AT5G44340	Carub.0008s0413
AT3G26740	Carub.0005s0476
AT5G56990	Carub.0008s1747
AT5G56980	Carub.0008s1746
AT5G57000	Carub.0008s1748
AT1G22470	Carub.0001s2200
AT1G44790	Carub.0001s3531
AT1G22480	Carub.0001s2201
AT1G44800	Carub.0001s3532
AT1G22490	Carub.0001s2202
AT1G22500	Carub.0001s2203
AT1G44820	Carub.0001s3534
AT1G22510	Carub.0001s2204
AT1G44830	Carub.0001s3535
AT1G22520	Carub.0001s2205
AT1G22530	Carub.0001s2206
AT4G35725	Carub.0001s3537
AT1G44835	Carub.0001s3538
AT1G22550	Carub.0001s2208
AT1G44890	Carub.0001s3539
AT1G22570	Carub.0001s2209
AT3G26820	Carub.0005s0491
AT3G26790	Carub.0005s0485
AT5G56840	Carub.0008s1730
AT3G26810	Carub.0005s0486
AT3G26780	Carub.0005s0483
AT5G56860	Carub.0008s1732
AT5G44490	Carub.0008s0401
AT3G26782	Carub.0005s0484
AT5G56850	Carub.0008s1731
AT5G44500	Carub.0008s0400
AT5G56880	Carub.0008s1734
AT5G44460	Carub.0008s0403
AT5G56870	Carub.0008s1733
AT5G44480	Carub.0008s0402
AT5G56900	Carub.0008s1736
AT5G56890	Carub.0008s1735
AT5G44450	Carub.0008s0404
AT5G56910	Carub.0008s1738
AT5G44400	Carub.0008s0407
AT5G56920	Carub.0008s1737
AT5G44380	Carub.0008s0409
AT5G44390	Carub.0008s0408
AT1G44900	Carub.0001s3540
AT1G44910	Carub.0001s3541
AT1G22600	Carub.0001s2211
AT1G44920	Carub.0001s3542
AT1G22610	Carub.0001s2212
AT1G44960	Carub.0001s3543
AT1G22620	Carub.0001s2213
AT1G44970	Carub.0001s3544
AT1G22630	Carub.0001s2214
AT1G45000	Carub.0001s3545
AT1G22640	Carub.0001s2215
AT1G22650	Carub.0001s2217
AT1G22660	Carub.0001s2218
AT3G51530	Carub.0005s1791
AT1G22670	Carub.0001s2219
AT3G51520	Carub.0005s1790
AT3G26610	Carub.0005s0460
AT3G51460	Carub.0005s1784
AT3G26540	Carub.0005s0452
AT3G51450	Carub.0005s1783
AT5G56730	Carub.0008s1721
AT3G26510	Carub.0005s0450
AT5G56720	Carub.0008s1720
AT3G26520	Carub.0005s0451
AT3G51500	Carub.0005s1788
AT3G26570	Carub.0005s0456
AT5G56740	Carub.0008s1722
AT3G51490	Carub.0005s1787
AT3G26580	Carub.0005s0457
AT5G56770	Carub.0008s1725
AT3G51480	Carub.0005s1786
AT5G56760	Carub.0008s1724
AT3G51470	Carub.0005s1785
AT3G26560	Carub.0005s0455
AT5G56790	Carub.0008s1727
AT5G56780	Carub.0008s1726
AT3G51510	Carub.0005s1789
AT3G26600	Carub.0005s0459
AT1G45010	Carub.0001s3550
AT1G22680	Carub.0001s2220
AT1G45110	Carub.0001s3551
AT1G22690	Carub.0001s2221
AT1G45130	Carub.0001s3552
AT1G22700	Carub.0001s2222
AT2G14080	Carub.0001s3553
AT1G45145	Carub.0001s3554
AT1G22710	Carub.0001s2223
AT1G45150	Carub.0001s3555
AT1G22730	Carub.0001s2224
AT1G22740	Carub.0001s2225
AT1G22750	Carub.0001s2226
AT2G40050	Carub.0001s3557
AT1G45160	Carub.0001s3558
AT1G22760	Carub.0001s2227
AT1G45170	Carub.0001s3559
AT1G22770	Carub.0001s2228
AT3G26700	Carub.0005s0470
AT3G26710	Carub.0005s0471
AT3G51590	Carub.0005s1795
AT3G26630	Carub.0005s0463
AT3G51580	Carub.0005s1794
AT5G56620	Carub.0008s1710
AT3G51550	Carub.0005s1793
AT3G26618	Carub.0005s0461
AT3G51540	Carub.0005s1792
AT5G56640	Carub.0008s1712
AT3G26670	Carub.0005s0467
AT5G56630	Carub.0008s1711
AT3G51620	Carub.0005s1798
AT3G26680	Carub.0005s0468
AT3G51610	Carub.0005s1797
AT3G26650	Carub.0005s0466
AT3G51600	Carub.0005s1796
AT3G26690	Carub.0005s0469
AT5G56710	Carub.0008s1719
AT1G45180	Carub.0001s3560
AT1G45191	Carub.0001s3561
AT1G22790	Carub.0001s2230
AT1G45201	Carub.0001s3562
AT1G22800	Carub.0001s2231
AT1G22810	Carub.0001s2232
AT1G45207	Carub.0001s3564
AT1G22830	Carub.0001s2233
AT1G45231	Carub.0001s3565
AT1G22840	Carub.0001s2234
AT1G22850	Carub.0001s2235
AT1G22860	Carub.0001s2236
AT1G45233	Carub.0001s3568
AT1G22870	Carub.0001s2237
AT1G22880	Carub.0001s2238
AT1G22882	Carub.0001s2239
AT3G51250	Carub.0005s1762
AT3G26380	Carub.0005s0430
AT3G51240	Carub.0005s1761
AT3G26390	Carub.0005s0431
AT3G51230	Carub.0005s1760
AT5G56530	Carub.0008s1701
AT3G51290	Carub.0005s1766
AT5G56520	Carub.0008s1700
AT3G51280	Carub.0005s1765
AT5G56550	Carub.0008s1703
AT3G51270	Carub.0005s1764
AT5G56540	Carub.0008s1702
AT5G56570	Carub.0008s1705
AT3G26410	Carub.0005s0438
AT5G56560	Carub.0008s1704
AT3G51320	Carub.0005s1769
AT3G26420	Carub.0005s0439
AT5G56590	Carub.0008s1707
AT3G51310	Carub.0005s1768
AT5G56580	Carub.0008s1706
AT3G51300	Carub.0005s1767
AT3G26400	Carub.0005s0437
AT5G56610	Carub.0008s1709
AT5G56600	Carub.0008s1708
AT1G45248	Carub.0001s3571
AT1G22885	Carub.0001s2240
AT1G22910	Carub.0001s2241
AT1G45249	Carub.0001s3573
AT1G22920	Carub.0001s2242
AT1G45230	Carub.0001s3574
AT1G22930	Carub.0001s2243
AT1G45474	Carub.0001s3575
AT1G22940	Carub.0001s2244
AT1G45545	Carub.0001s3576
AT1G22950	Carub.0001s2245
AT1G45688	Carub.0001s3577
AT1G22960	Carub.0001s2246
AT1G45976	Carub.0001s3578
AT1G46264	Carub.0001s3579
AT1G22985	Carub.0001s2248
AT1G22990	Carub.0001s2249
AT3G51420	Carub.0005s1780
AT3G51360	Carub.0005s1773
AT3G26440	Carub.0005s0441
AT3G51350	Carub.0005s1772
AT3G51340	Carub.0005s1771
AT3G51325	Carub.0005s1770
AT3G26430	Carub.0005s0440
AT3G51390	Carub.0005s1777
AT3G51380	Carub.0005s1776
AT3G26500	Carub.0005s0449
AT3G51410	Carub.0005s1779
AT3G26490	Carub.0005s0447
AT1G46480	Carub.0001s3580
AT5G35700	Carub.0007s3144
AT5G35680	Carub.0007s3140
AT5G35690	Carub.0007s3142
AT3G51000	Carub.0005s1740
AT3G51040	Carub.0005s1744
AT3G51030	Carub.0005s1743
AT3G51020	Carub.0005s1742
AT3G51010	Carub.0005s1741
AT3G26210	Carub.0005s0411
AT3G51080	Carub.0005s1748
AT3G51070	Carub.0005s1747
AT3G26290	Carub.0005s0417
AT3G51050	Carub.0005s1745
AT5G35630	Carub.0007s3137
AT5G35620	Carub.0007s3136
AT5G35670	Carub.0007s3139
AT3G51090	Carub.0005s1749
AT5G35660	Carub.0007s3138
AT5G35580	Carub.0007s3133
AT5G35570	Carub.0007s3132
AT5G35610	Carub.0007s3135
AT3G51100	Carub.0005s1750
AT3G51150	Carub.0005s1755
AT3G26330	Carub.0005s0423
AT3G51140	Carub.0005s1754
AT3G51130	Carub.0005s1753
AT3G26320	Carub.0005s0421
AT3G51120	Carub.0005s1752
AT3G51220	Carub.0005s1759
AT3G26350	Carub.0005s0427
AT3G51200	Carub.0005s1758
AT3G26360	Carub.0005s0428
AT5G35550	Carub.0007s3129
AT3G51180	Carub.0005s1757
AT3G51160	Carub.0005s1756
AT3G26340	Carub.0005s0426
AT5G35460	Carub.0007s3126
AT3G26370	Carub.0005s0429
AT5G35520	Carub.0007s3127
AT1G72280	Carub.0002s1908
AT5G35840	Carub.0007s3166
AT5G35910	Carub.0007s3168
AT5G35870	Carub.0007s3167
AT1G72230	Carub.0002s1904
AT1G72240	Carub.0002s1905
AT1G72250	Carub.0002s1906
AT2G23960	Carub.0007s3163
AT5G43670	Carub.0008s0498
AT5G43680	Carub.0008s0497
AT5G43650	Carub.0008s0499
AT3G50840	Carub.0005s1722
AT3G50830	Carub.0005s1721
AT1G72190	Carub.0002s1900
AT3G50870	Carub.0005s1726
AT1G72200	Carub.0002s1901
AT3G50860	Carub.0005s1725
AT1G72210	Carub.0002s1902
AT3G50850	Carub.0005s1724
AT1G72220	Carub.0002s1903
AT3G50845	Carub.0005s1723
AT5G35790	Carub.0007s3158
AT3G50890	Carub.0005s1728
AT3G50880	Carub.0005s1727
AT5G35770	Carub.0007s3155
AT5G35750	Carub.0007s3151
AT5G35740	Carub.0007s3150
AT5G35753	Carub.0007s3153
AT5G43745	Carub.0008s0490
AT5G43710	Carub.0008s0492
AT5G43720	Carub.0008s0491
AT3G10130	Carub.0008s0494
AT5G42130	Carub.0008s0493
AT5G43920	Carub.0008s0496
AT5G43700	Carub.0008s0495
AT5G43770	Carub.0008s0487
AT5G43780	Carub.0008s0486
AT5G43750	Carub.0008s0489
AT5G43760	Carub.0008s0488
AT3G50930	Carub.0005s1732
AT3G50920	Carub.0005s1731
AT3G50910	Carub.0005s1730
AT3G50970	Carub.0005s1737
AT3G26130	Carub.0005s0405
AT3G50960	Carub.0005s1736
AT3G26140	Carub.0005s0406
AT3G50950	Carub.0005s1735
AT3G50940	Carub.0005s1734
AT3G26125	Carub.0005s0404
AT5G35730	Carub.0007s3147
AT3G50990	Carub.0005s1739
AT3G50980	Carub.0005s1738
AT5G35735	Carub.0007s3149
AT5G36210	Carub.0007s3188
AT5G36220	Carub.0007s3189
AT5G36160	Carub.0007s3183
AT5G36170	Carub.0007s3185
AT5G43822	Carub.0008s0481
AT1G43810	Carub.0008s0483
AT5G43820	Carub.0008s0482
AT5G43790	Carub.0008s0485
AT5G43810	Carub.0008s0484
AT5G43850	Carub.0008s0476
AT5G43860	Carub.0008s0475
AT5G43840	Carub.0008s0477
AT3G50670	Carub.0005s1700
AT5G43830	Carub.0008s0479
AT3G50700	Carub.0005s1703
AT3G50690	Carub.0005s1702
AT3G50685	Carub.0005s1701
AT3G50750	Carub.0005s1708
AT3G50740	Carub.0005s1707
AT5G36100	Carub.0007s3177
AT5G35980	Carub.0007s3176
AT5G36120	Carub.0007s3179
AT5G35960	Carub.0007s3173
AT5G35970	Carub.0007s3175
AT3G09790	Carub.0007s3174
AT5G35930	Carub.0007s3171
AT5G43890	Carub.0008s0472
AT5G43870	Carub.0008s0474
AT5G43880	Carub.0008s0473
AT5G43930	Carub.0008s0465
AT5G57450	Carub.0008s1796
AT5G43935	Carub.0008s0464
AT5G57440	Carub.0008s1795
AT5G57480	Carub.0008s1798
AT2G05830	Carub.0008s0467
AT5G57460	Carub.0008s1797
AT3G50770	Carub.0005s1711
AT5G43900	Carub.0008s0469
AT5G43910	Carub.0008s0468
AT5G57490	Carub.0008s1799
AT3G50800	Carub.0005s1715
AT3G50790	Carub.0005s1714
AT3G50810	Carub.0005s1717
AT3G50808	Carub.0005s1716
AT2G38130	Carub.0004s2010
AT5G57380	Carub.0008s1790
AT5G43940	Carub.0008s0461
AT5G57400	Carub.0008s1792
AT5G43950	Carub.0008s0460
AT5G57390	Carub.0008s1791
AT5G57420	Carub.0008s1794
AT5G57410	Carub.0008s1793
AT5G57340	Carub.0008s1785
AT5G44005	Carub.0008s0454
AT5G44010	Carub.0008s0453
AT5G57330	Carub.0008s1784
AT5G43990	Carub.0008s0456
AT5G57345	Carub.0008s1786
AT5G44000	Carub.0008s0455
AT5G43970	Carub.0008s0458
AT5G57370	Carub.0008s1789
AT5G43980	Carub.0008s0457
AT5G57360	Carub.0008s1788
AT2G38110	Carub.0004s2008
AT5G43960	Carub.0008s0459
AT2G38120	Carub.0004s2009
AT2G38090	Carub.0004s2006
AT2G38100	Carub.0004s2007
AT2G38070	Carub.0004s2004
AT2G38080	Carub.0004s2005
AT2G38050	Carub.0004s2002
AT2G38060	Carub.0004s2003
AT2G38025	Carub.0004s2000
AT2G38040	Carub.0004s2001
AT2G38240	Carub.0004s2020
AT2G38250	Carub.0004s2021
AT5G36290	Carub.0007s3194
AT5G36250	Carub.0007s3191
AT5G36230	Carub.0007s3190
AT5G36260	Carub.0007s3192
AT5G44040	Carub.0008s0450
AT5G57300	Carub.0008s1781
AT5G57290	Carub.0008s1780
AT5G57320	Carub.0008s1783
AT5G44020	Carub.0008s0452
AT5G44030	Carub.0008s0451
AT5G44100	Carub.0008s0443
AT5G57240	Carub.0008s1774
AT5G44110	Carub.0008s0442
AT5G57230	Carub.0008s1773
AT5G57260	Carub.0008s1776
AT5G44080	Carub.0008s0445
AT5G57250	Carub.0008s1775
AT5G44090	Carub.0008s0444
AT5G57280	Carub.0008s1778
AT5G44060	Carub.0008s0447
AT5G57270	Carub.0008s1777
AT2G38230	Carub.0004s2019
AT5G44050	Carub.0008s0448
AT1G03670	Carub.0008s1779
AT2G38170	Carub.0004s2015
AT2G38180	Carub.0004s2016
AT2G38152	Carub.0004s2013
AT2G38160	Carub.0004s2014
AT2G38140	Carub.0004s2011
AT2G38150	Carub.0004s2012
AT1G21528	Carub.0001s2097
AT2G39460	Carub.0004s2153
AT2G39440	Carub.0004s2150
AT1G21550	Carub.0001s2099
AT1G60070	Carub.0002s0518
AT1G71730	Carub.0002s1849
AT1G60060	Carub.0002s0519
AT1G71690	Carub.0002s1840
AT1G60080	Carub.0002s0514
AT1G71696	Carub.0002s1845
AT3G52600	Carub.0005s1902
AT2G39435	Carub.0004s2149
AT1G71697	Carub.0002s1846
AT1G71710	Carub.0002s1847
AT2G39420	Carub.0004s2147
AT1G71720	Carub.0002s1848
AT2G39430	Carub.0004s2148
AT1G71691	Carub.0002s1841
AT3G52640	Carub.0005s1906
AT2G39400	Carub.0004s2145
AT1G60140	Carub.0002s0511
AT1G71692	Carub.0002s1842
AT3G52630	Carub.0005s1905
AT2G39410	Carub.0004s2146
AT1G11470	Carub.0002s1843
AT2G39380	Carub.0004s2143
AT3G52620	Carub.0005s1904
AT1G71695	Carub.0002s1844
AT2G39390	Carub.0004s2144
AT3G52610	Carub.0005s1903
AT2G39560	Carub.0004s2163
AT2G39570	Carub.0004s2164
AT3G52740	Carub.0005s1919
AT2G39530	Carub.0004s2161
AT3G52730	Carub.0005s1918
AT2G39550	Carub.0004s2162
AT1G71530	Carub.0002s1838
AT1G60170	Carub.0002s0508
AT1G71680	Carub.0002s1839
AT2G39518	Carub.0004s2160
AT1G60160	Carub.0002s0509
AT1G71480	Carub.0002s1834
AT1G60200	Carub.0002s0504
AT1G71490	Carub.0002s1835
AT3G52690	Carub.0005s1912
AT1G60190	Carub.0002s0505
AT1G71500	Carub.0002s1836
AT2G39500	Carub.0004s2158
AT1G71520	Carub.0002s1837
AT2G39510	Carub.0004s2159
AT1G71450	Carub.0002s1830
AT3G52720	Carub.0005s1917
AT2G39490	Carub.0004s2156
AT1G60250	Carub.0002s0500
AT1G71460	Carub.0002s1831
AT3G52710	Carub.0005s1916
AT2G11035	Carub.0002s1832
AT1G60240	Carub.0002s0501
AT2G39470	Carub.0004s2154
AT1G60230	Carub.0002s0502
AT1G71470	Carub.0002s1833
AT2G39480	Carub.0004s2155
AT2G39700	Carub.0004s2174
AT2G39705	Carub.0004s2175
AT2G39660	Carub.0004s2170
AT2G39670	Carub.0004s2171
AT1G71840	Carub.0002s1860
AT1G71850	Carub.0002s1861
AT1G71860	Carub.0002s1862
AT1G59910	Carub.0002s0536
AT1G71890	Carub.0002s1867
AT1G59900	Carub.0002s0537
AT1G71900	Carub.0002s1868
AT1G59890	Carub.0002s0538
AT1G71910	Carub.0002s1869
AT2G39650	Carub.0004s2169
AT1G59870	Carub.0002s0539
AT1G59960	Carub.0002s0532
AT1G71865	Carub.0002s1863
AT2G39630	Carub.0004s2167
AT2G39640	Carub.0004s2168
AT1G71870	Carub.0002s1865
AT2G39580	Carub.0004s2165
AT1G59940	Carub.0002s0535
