AT2G36840	AL4G33040
AT2G30160	AL4G24990
AT2G27920	AL4G22330
AT2G29090	AL4G23660
AT4G39200	AL7G11160
AT2G45860	AL4G45070
AT3G20630	AL3G34510
AT1G19530	AL1G32280
AT1G51090	AL1G58890
AT3G21720	AL3G35840
AT3G01590	AL3G10560
AT3G02530	AL3G11890
AT1G49990	AL1G57560
AT5G15110	AL6G25930
AT5G42030	AL7G47130
AT2G21230	AL4G10350
AT1G08845	AL1G19280
AT3G10990	AL3G22554
AT3G10986	AL3G22552
AT3G09940	AL3G21220
AT1G30290	AL1G44240
AT1G09720	AL1G20270
AT2G20240	AL3G47850
AT3G12210	AL3G23880
AT5G04330	AL6G13950
AT4G39220	AL7G11190
AT2G29080	AL4G23650
AT2G30150	AL4G24980
AT4G16850	AL7G37780
AT4G19003	AL7G35150
AT2G45870	AL4G45080
AT3G19760	AL3G33210
AT1G19500	AL1G32250
AT1G51080	AL1G58880
AT1G20620	AL1G33580
AT3G21740	AL3G35870
AT3G01580	AL3G10570
AT2G21220	AL4G10340
AT5G40230	AL7G49762
AT5G41120	AL7G48430
AT5G42060	AL7G47100
AT1G08860	AL1G19290
AT1G09730	AL1G20280
AT5G39560	AL7G50760
AT5G03290	AL6G12610
AT2G20250	AL3G47840
AT1G32630	AL1G46890
AT3G09950	AL3G21230
AT1G30280	AL1G44230
AT3G01570	AL3G10580
AT3G11000	AL3G22560
AT2G27930	AL4G22310
AT5G04320	AL6G13940
AT2G29070	AL4G23640
AT4G39210	AL7G11180
AT4G19006	AL7G35140
AT5G15090	AL6G25910
AT1G20630	AL1G33590
AT2G45880	AL4G45090
AT3G20650	AL3G34530
AT3G19740	AL3G33200
AT1G19510	AL1G32260
AT1G51070	AL1G58870
AT3G53280	AL5G34190
AT1G49980	AL1G57540
AT5G42050	AL7G47110
AT2G21210	AL4G10330
AT2G23148	AL4G12990
AT5G41110	AL7G48440
AT5G40210	AL7G49770
AT4G28100	AL7G24490
AT4G28160	AL7G24440
AT4G27050	AL7G25770
AT5G12480	AL6G23380
AT2G14760	AL3G46540
AT5G11410	AL6G22050
AT3G01560	AL3G10590
AT5G39580	AL7G50730
AT3G21760	AL3G35890
AT3G20660	AL3G34560
AT5G22890	AL6G34030
AT5G51350	AL8G25620
AT4G40100	AL7G12460
AT5G60970	AL8G37610
AT5G62160	AL8G38940
AT4G39190	AL7G11130
AT1G72360	AL2G32040
AT4G37020	AL7G13790
AT4G18020	AL7G36430
AT5G25060	AL6G36690
AT5G01970	AL6G10060
AT5G02160	AL6G11390
AT3G19780	AL3G33230
AT3G11020	AL3G22570
AT2G20210	AL3G47870
AT2G38400	AL4G35620
AT5G40250	AL7G49740
AT2G39530	AL4G36950
AT5G50260	AL8G24300
AT1G30360	AL1G44290
AT5G11412	AL6G22060
AT4G28170	AL7G24430
AT4G29330	AL7G23100
AT4G05070	AL6G48670
AT2G20230	AL3G47860
AT5G12840	AL6G23390
AT2G48010	AL4G47610
AT3G21750	AL3G35880
AT5G01980	AL6G10050
AT5G51370	AL8G25630
AT5G62150	AL8G38930
AT4G37010	AL7G13780
AT4G40090	AL7G12450
AT1G72350	AL2G32030
AT4G18010	AL7G36440
AT5G02150	AL6G11380
AT4G39180	AL7G11120
AT5G22900	AL6G34040
AT5G24040	AL6G35370
AT4G12460	AL6G47340
AT3G11030	AL3G22580
AT4G11490	AL6G46010
ATCG00350	AL2G21380
AT5G40240	AL7G49750
AT3G53260	AL5G34170
AT2G38410	AL4G35630
AT5G46160	AL8G12320
AT2G39550	AL4G36960
AT4G28140	AL7G24460
AT4G27040	AL7G25790
AT1G30350	AL1G44280
AT5G14030	AL6G24690
AT4G02940	AL6G49990
AT5G24020	AL6G35340
AT3G19800	AL3G33250
AT4G02170	AL6G50980
AT5G22875	AL6G34010
AT3G20670	AL3G34580
AT5G52510	AL8G26970
AT3G44150	AL5G22180
AT1G19540	AL1G32290
AT5G06190	AL8G36300
AT4G38100	AL7G12480
AT4G16980	AL7G37740
AT1G72390	AL2G32060
AT5G01950	AL6G10080
AT5G39610	AL7G50700
AT2G01240	AL5G10190
AT4G12450	AL6G47330
AT2G13290	AL3G45230
AT5G40260	AL7G49720
AT5G44635	AL8G14990
AT5G12460	AL6G23360
AT2G14820	AL3G46560
AT2G20190	AL3G47890
AT5G11390	AL6G22030
AT2G39560	AL4G36970
AT5G46150	AL8G12330
AT1G50020	AL1G57590
AT3G54440	AL5G35490
AT3G53250	AL5G34160
AT5G50280	AL8G24320
AT1G30330	AL1G44270
AT4G28150	AL7G24450
AT4G29310	AL7G23120
AT5G12470	AL6G23370
AT5G39590	AL7G50720
AT2G46830	AL4G46300
AT5G22880	AL6G34020
AT5G24030	AL6G35350
AT3G19790	AL3G33240
AT5G52520	AL8G26980
AT2G48030	AL4G47630
AT3G48640	AL5G22170
AT4G16970	AL7G37750
AT1G72370	AL2G32050
AT1G26290	AL7G12470
AT4G18030	AL7G36420
AT5G01960	AL6G10070
AT2G20208	AL3G47880
AT5G39600	AL7G50710
AT3G09980	AL3G21270
AT3G02010	AL3G46550
AT5G11400	AL6G22040
AT4G12430	AL6G47320
AT1G49300	AL1G56250
AT3G53240	AL5G34150
AT2G39570	AL4G36980
AT3G54430	AL5G35480
AT5G52470	AL8G26910
AT2G39580	AL4G36990
AT4G28200	AL7G24400
AT5G01015	AL6G10020
AT5G02120	AL6G11350
AT2G46850	AL4G46310
AT5G24000	AL6G35320
AT5G03345	AL6G12680
AT1G72416	AL2G32080
AT4G17000	AL7G37720
AT4G36980	AL7G13750
AT2G13350	AL3G45250
AT2G14830	AL3G46580
AT5G11360	AL6G22010
AT5G14010	AL6G24670
AT2G01220	AL5G10170
AT3G09990	AL3G21280
AT4G12420	AL6G47310
AT2G37390	AL4G34330
AT3G54420	AL5G35470
AT3G53235	AL5G34140
AT2G36810	AL4G33000
AT5G52480	AL8G26920
AT4G27080	AL7G25720
AT5G02110	AL6G11340
AT3G45020	AL5G23480
AT2G46860	AL4G46320
AT3G20680	AL3G34590
AT3G28680	AL6G34000
AT5G24010	AL6G35330
AT3G19810	AL3G33260
AT2G48060	AL4G47650
AT5G03340	AL6G12670
AT5G01010	AL6G10010
AT4G36970	AL7G13740
AT1G72410	AL2G32070
AT4G18040	AL7G36400
AT2G14825	AL3G46570
AT5G11380	AL6G22020
AT4G05020	AL6G48630
AT5G14020	AL6G24680
AT3G10000	AL3G21290
AT3G54410	AL5G35460
AT5G51340	AL8G25600
AT3G54400	AL5G35450
AT3G53232	AL5G34120
AT4G28180	AL7G24420
AT2G01200	AL5G10150
AT5G01990	AL6G10040
AT5G02140	AL6G11370
AT5G23980	AL6G35300
AT4G02195	AL6G50940
AT5G24970	AL6G36630
AT4G37000	AL7G13770
AT2G48070	AL4G47660
AT4G39170	AL7G11110
AT4G40080	AL7G12440
AT4G17020	AL7G37700
AT5G13990	AL6G24650
AT5G15160	AL6G25980
AT4G02980	AL6G49950
AT2G36830	AL4G33020
AT2G13370	AL3G45270
AT5G62140	AL8G38920
AT3G53230	AL5G34110
AT2G38420	AL4G35690
AT3G54390	AL5G35440
AT2G36835	AL4G33030
AT3G55580	AL5G36770
AT4G27060	AL7G25740
AT4G28190	AL7G24410
AT5G01020	AL6G10030
AT5G24980	AL6G36640
AT5G02130	AL6G11360
AT2G45800	AL4G45010
AT4G02200	AL6G50930
AT5G23990	AL6G35310
AT5G52490	AL8G26940
AT1G49330	AL1G56290
AT5G46170	AL8G12300
AT2G27840	AL4G22390
AT2G48075	AL4G47670
AT3G63350	AL5G46200
AT4G02210	AL6G50920
AT3G45000	AL5G23460
AT4G36990	AL7G13760
AT4G39160	AL7G11100
AT4G40070	AL7G12430
AT4G17010	AL7G37710
AT2G13360	AL3G45260
AT5G14000	AL6G24660
AT5G15170	AL6G25990
AT2G01210	AL5G10160
AT2G02220	AL5G11490
AT2G07110	AL6G48610
AT4G02990	AL6G49940
AT5G62130	AL8G38910
AT5G11350	AL6G22000
AT3G54380	AL5G35430
AT3G53220	AL5G34100
AT3G55570	AL5G36760
AT2G02180	AL5G11460
AT2G03140	AL5G12790
AT5G50230	AL8G24250
AT2G01180	AL5G10130
AT4G27020	AL7G25810
AT1G73630	AL2G33410
AT3G19720	AL3G33190
AT1G74870	AL2G34750
AT3G63360	AL5G46210
AT3G46070	AL5G24780
AT2G23090	AL4G12900
AT3G44990	AL5G23450
AT5G60950	AL8G37570
AT5G59720	AL8G36240
AT5G46190	AL8G12270
AT4G37050	AL7G13830
AT3G54360	AL5G35420
AT3G55566	AL5G36750
AT4G11570	AL6G46090
AT2G01190	AL5G10140
AT5G50240	AL8G24260
AT4G27030	AL7G25800
AT1G73620	AL2G33400
AT3G19710	AL3G33180
AT1G74880	AL2G34760
AT3G63370	AL5G46220
AT1G64230	AL2G10770
AT5G59710	AL8G36230
AT3G46060	AL5G24770
AT5G60940	AL8G37560
AT5G51330	AL8G25590
AT5G62110	AL8G38890
AT4G16830	AL7G37810
AT4G37040	AL7G13820
AT1G64770	AL2G19130
AT4G11560	AL6G46080
AT1G01510	AL1G10900
AT4G27000	AL7G25830
AT5G46180	AL8G12290
AT2G02160	AL5G11440
AT2G03120	AL5G12770
AT4G28090	AL7G24500
AT5G59740	AL8G36260
AT1G72430	AL2G32100
AT1G73650	AL2G33430
AT1G74850	AL2G34730
AT5G22950	AL6G34090
AT3G44100	AL5G22100
AT3G44960	AL5G23430
AT5G50250	AL8G24270
AT1G65170	AL2G20110
AT2G03130	AL5G12780
AT3G55560	AL5G36730
AT2G01170	AL5G10120
AT2G02170	AL5G11450
AT5G60960	AL8G37580
AT4G27010	AL7G25820
AT1G73640	AL2G33420
AT1G64210	AL2G10790
AT3G63380	AL5G46240
AT1G74860	AL2G34740
AT5G59730	AL8G36250
AT3G46030	AL5G24750
AT1G64780	AL2G19150
AT3G55550	AL5G36720
AT5G52440	AL8G26870
AT1G01490	AL1G10920
AT1G74910	AL2G34790
AT3G63390	AL5G46250
AT3G46020	AL5G24740
AT1G73660	AL2G33450
AT3G44940	AL5G23410
AT5G60910	AL8G37530
AT5G59680	AL8G36200
AT5G62080	AL8G38860
AT5G22930	AL6G34070
AT5G45277	AL8G13560
AT5G44660	AL8G14890
AT1G11740	AL1G22910
AT5G46230	AL8G12230
AT2G01150	AL5G10100
AT2G02150	AL5G11430
AT1G01500	AL1G10910
AT3G55540	AL5G36710
AT2G03110	AL5G12760
AT5G52450	AL8G26880
AT3G63400	AL5G46260
AT1G21722	AL1G34900
AT1G72440	AL2G32110
AT1G73655	AL2G33440
AT5G22940	AL6G34080
AT5G62070	AL8G38850
AT5G01940	AL6G10090
AT5G46220	AL8G12240
AT1G11750	AL1G22920
ATCG00420	AL2G21460
AT2G02147	AL5G11400
AT5G50200	AL8G24230
AT3G55530	AL5G36700
AT5G51290	AL8G25560
AT3G63410	AL5G46270
AT1G74890	AL2G34770
AT1G72450	AL2G32140
AT1G73680	AL2G33470
AT5G60930	AL8G37550
AT5G59700	AL8G36220
AT5G62100	AL8G38880
AT5G22910	AL6G34050
AT5G45260	AL8G13580
AT2G39510	AL4G36930
AT5G46210	AL8G12250
AT2G38380	AL4G35600
AT4G29570	AL682U10010
AT2G02148	AL5G11410
AT1G64790	AL2G19160
AT5G50210	AL8G24240
AT5G11420	AL6G22080
AT1G01480	AL1G10930
AT3G63420	AL5G46280
AT1G74900	AL2G34780
AT1G73670	AL2G33460
AT5G22920	AL6G34060
AT5G60920	AL8G37540
AT5G62090	AL8G38870
AT2G38390	AL4G35610
AT4G37030	AL7G13800
AT4G03645	AL8G13590
AT2G39518	AL4G36940
AT5G46200	AL8G12260
AT5G52620	AL4G22300
AT2G29065	AL4G23630
AT3G63430	AL5G46290
AT1G20640	AL1G33600
AT2G30140	AL4G24960
AT1G51100	AL1G58900
AT1G01460	AL1G10960
AT1G11765	AL1G22950
AT2G16450	AL4G10320
AT2G23140	AL4G12980
AT1G32690	AL1G46920
AT1G21740	AL1G34940
AT1G08880	AL1G19310
AT2G29060	AL4G23620
AT1G20650	AL1G33610
AT1G11770	AL1G22960
AT2G22170	AL4G11640
AT2G21200	AL4G10310
AT2G23130	AL4G12970
AT1G09750	AL1G20300
AT5G03370	AL6G12700
AT1G65650	AL2G22700
AT2G29050	AL4G23610
AT1G01453	AL1G10980
AT1G10720	AL1G21604
AT1G10717	AL1G21602
AT1G64255	AL2G10720
AT2G21195	AL4G10300
AT2G23120	AL4G12960
AT1G11755	AL1G22930
AT1G32640	AL1G46900
AT1G21730	AL1G34920
AT1G11760	AL1G22940
AT1G11800	AL1G22990
AT1G50040	AL1G57610
AT1G08910	AL1G19340
AT1G20670	AL1G33640
AT1G21770	AL1G34970
AT5G59760	AL8G36280
AT3G02480	AL3G11800
AT1G74830	AL2G34710
AT1G64235	AL2G10740
AT1G43665	AL1G18000
AT2G23096	AL4G12940
AT1G10740	AL1G21660
AT1G30370	AL1G44300
AT1G09780	AL1G20330
AT1G50030	AL1G57600
AT1G08920	AL1G19350
AT1G65660	AL2G22710
AT1G19600	AL1G32320
AT5G59750	AL8G36270
AT1G20680	AL1G33650
AT1G51130	AL1G58930
AT1G01450	AL1G10990
AT3G02490	AL3G11810
AT1G74840	AL2G34720
AT1G21780	AL1G34980
AT2G23093	AL4G12930
AT1G32700	AL1G46950
AT5G42000	AL7G47180
AT1G21750	AL1G34950
AT1G08890	AL1G19320
AT1G51120	AL1G58920
AT1G09760	AL1G20310
AT1G07747	AL1G18020
AT1G11780	AL1G22970
AT5G41990	AL7G47190
AT1G08900	AL1G19330
AT1G19570	AL1G32300
AT5G59770	AL8G36290
AT1G21760	AL1G34960
AT1G51110	AL1G58910
AT1G74820	AL2G34700
AT1G45616	AL4G12910
AT1G09770	AL1G20320
AT1G10730	AL1G21650
AT1G11790	AL1G22980
AT3G01650	AL3G10500
AT3G02493	AL3G11830
AT2G20180	AL3G47910
AT5G42100	AL7G47040
AT2G38360	AL4G35580
AT3G11070	AL3G22610
AT2G37660	AL4G34250
AT2G21185	AL4G10280
AT1G09795	AL1G20370
AT3G12280	AL3G23940
AT5G01930	AL6G10100
AT5G02200	AL6G11430
AT5G25100	AL6G36730
AT3G20690	AL3G34600
AT4G19050	AL7G35050
AT3G21790	AL3G35930
AT2G47970	AL4G47560
AT2G46760	AL4G46230
AT1G20696	AL1G33680
AT1G51170	AL1G58980
AT1G18580	AL1G31020
AT1G19630	AL1G32350
AT4G29360	AL7G23070
AT5G14090	AL6G24750
AT2G21180	AL4G10270
AT1G08960	AL1G19390
AT5G41130	AL7G48380
AT5G42090	AL7G47050
AT1G09800	AL1G20380
AT1G49350	AL1G56310
AT1G30400	AL1G44330
AT5G03420	AL6G12750
AT3G12290	AL3G23950
AT5G24060	AL6G35410
AT4G39140	AL7G11080
AT5G02190	AL6G11420
AT4G19060	AL7G35040
AT3G21780	AL3G35920
AT2G27960	AL4G22250
AT1G19640	AL1G32360
AT2G46770	AL4G46240
AT1G20700	AL1G33690
AT1G18590	AL1G31030
AT1G51160	AL1G58970
AT5G14100	AL6G24760
AT1G07750	AL1G18030
AT3G01516	AL3G10640
AT4G28210	AL7G24390
AT5G12870	AL6G23430
AT5G11440	AL6G22100
AT2G37650	AL4G34270
AT2G14835	AL3G46600
AT2G21170	AL4G10260
AT3G10010	AL3G21300
AT3G11090	AL3G22630
AT1G10750	AL1G21680
AT1G08930	AL1G19360
AT1G09790	AL1G20350
AT5G02220	AL6G11450
AT1G19610	AL1G32330
AT3G12300	AL3G23960
AT5G25080	AL6G36710
AT5G03430	AL6G12780
AT4G18060	AL7G36370
AT5G01910	AL6G10120
AT2G47990	AL4G47580
AT3G20710	AL3G34620
AT4G19040	AL7G35070
AT1G21790	AL1G34990
AT2G46780	AL4G46250
AT1G30380	AL1G44320
AT3G01513	AL3G10650
AT4G29340	AL7G23090
AT3G02600	AL3G11980
AT5G14070	AL6G24730
AT5G12850	AL6G23400
AT4G05100	AL6G48700
AT5G39630	AL7G50680
AT5G41140	AL7G48360
AT5G42110	AL7G47030
AT1G08940	AL1G19370
AT3G11100	AL3G22640
AT1G32710	AL1G46970
AT1G10760	AL1G21690
AT1G18570	AL1G31010
AT1G51140	AL1G58950
AT3G12320	AL3G23970
AT5G25090	AL6G36720
AT2G27970	AL4G22230
AT4G18050	AL7G36380
AT5G01920	AL6G10110
AT5G02210	AL6G11440
AT2G30110	AL4G24890
AT4G19045	AL7G35060
AT3G21800	AL3G35940
AT1G19620	AL1G32340
AT2G46790	AL4G46260
AT1G20693	AL1G33670
AT3G01510	AL3G10660
AT5G12860	AL6G23410
AT2G21160	AL4G10250
AT5G14080	AL6G24740
AT1G07810	AL1G18090
AT4G28240	AL7G24360
AT5G39660	AL7G50650
AT1G30440	AL1G44380
AT5G03390	AL6G12720
AT2G20140	AL3G47950
AT3G11110	AL3G22650
AT3G07640	AL3G19000
AT3G12340	AL3G23980
AT2G30105	AL4G24880
AT2G46800	AL4G46270
AT4G18080	AL7G36350
AT4G39110	AL7G11050
AT5G14050	AL6G24710
AT1G18620	AL1G31060
AT1G19670	AL1G32390
AT3G20720	AL3G34640
AT3G21820	AL3G35970
AT3G01500	AL3G10670
AT4G27110	AL7G25690
AT2G21150	AL4G10240
AT5G40310	AL7G49660
AT1G07795	AL1G18080
AT4G28250	AL7G24350
AT5G40300	AL7G49670
AT4G27120	AL7G25680
AT5G25070	AL6G36700
AT4G29380	AL7G23020
AT5G39650	AL7G50660
AT3G07650	AL3G19010
AT3G10020	AL3G21330
AT5G03380	AL6G12710
AT3G08980	AL3G20000
AT3G12345	AL3G23990
AT2G27990	AL4G22210
AT4G17030	AL7G37690
AT2G20142	AL3G47945
AT4G18070	AL7G36360
AT2G46810	AL4G46280
AT4G40045	AL7G12370
AT1G18630	AL1G31070
AT3G21810	AL3G35960
AT3G01490	AL3G10680
AT1G49390	AL1G56350
AT2G21140	AL4G10230
AT5G14060	AL6G24720
AT2G23080	AL4G12890
AT1G09810	AL1G20390
AT5G39680	AL7G50630
AT2G14860	AL3G46640
AT3G08990	AL3G20010
AT3G10030	AL3G21340
AT2G20110	AL3G47970
AT3G01480	AL3G10690
AT3G11150	AL3G22670
AT2G28000	AL4G22200
AT5G03415	AL6G12740
AT3G07660	AL3G19020
AT5G02180	AL6G11410
AT2G30090	AL4G24860
AT4G39130	AL7G11070
AT4G19070	AL7G35030
AT4G17050	AL7G37660
AT4G16146	AL7G38990
AT2G46820	AL4G46290
AT4G18110	AL7G36330
AT1G18600	AL1G31040
AT1G19650	AL1G32370
AT3G20740	AL3G34660
AT3G19820	AL3G33330
AT5G47810	AL1G55010
AT1G49380	AL1G56340
AT2G21130	AL4G10220
AT2G23070	AL4G12880
AT4G28220	AL7G24380
AT4G29370	AL7G23040
AT5G02170	AL6G11400
AT5G39670	AL7G50640
AT2G14850	AL3G46630
AT3G09000	AL3G20020
AT3G07670	AL3G19030
AT2G30080	AL4G24850
AT4G39120	AL7G11060
AT4G19080	AL7G35020
AT4G17040	AL7G37670
AT4G18100	AL7G36340
AT5G14040	AL6G24700
AT1G19660	AL1G32380
AT1G18610	AL1G31050
AT1G51190	AL1G58990
AT3G20730	AL3G34650
AT3G11160	AL3G22680
AT2G21120	AL4G10210
AT4G28230	AL7G24370
AT5G50335	AL8G24410
AT5G11500	AL6G22170
AT4G28280	AL7G24320
AT4G12530	AL6G47470
AT3G20760	AL3G34680
AT3G07680	AL3G19040
AT3G19840	AL3G33350
AT1G74700	AL2G34590
AT4G36910	AL7G13670
AT5G61090	AL8G37730
AT5G59845	AL8G36400
AT1G73480	AL2G33250
AT4G17070	AL7G37640
AT4G18130	AL7G36310
AT5G01850	AL6G10180
AT5G23020	AL6G34150
AT5G24120	AL6G35480
AT2G20100	AL3G47990
AT2G38310	AL4G35500
AT5G39710	AL7G50600
AT1G48440	AL1G55070
AT5G46080	AL8G12430
AT5G47800	AL8G11100
AT5G50340	AL8G24420
AT2G13440	AL3G45320
AT4G28290	AL7G24310
AT4G05190	AL6G48790
AT5G11510	AL6G22180
AT3G07690	AL3G19050
AT3G20750	AL3G34670
AT5G51451	AL8G25750
AT1G29290	AL1G43080
AT5G61070	AL8G37720
AT4G36060	AL7G14990
AT1G73470	AL2G33240
AT4G36900	AL7G13660
AT4G17060	AL7G37650
AT5G24130	AL6G35490
AT4G39070	AL7G11000
AT5G01860	AL6G10170
AT4G40020	AL7G12330
AT3G19830	AL3G33340
AT4G11580	AL6G46130
AT3G09010	AL3G20040
AT3G10040	AL3G21370
AT3G53380	AL5G34290
AT2G38320	AL4G35510
AT5G40330	AL7G49630
AT5G46070	AL8G12440
AT5G47090	AL8G11110
AT1G48430	AL1G55060
AT4G28260	AL7G24340
AT5G12920	AL6G23480
AT4G05180	AL6G48780
AT2G47910	AL4G47500
AT5G23000	AL6G34130
AT5G24105	AL6G35460
AT3G18710	AL3G32040
AT5G51460	AL8G25760
AT1G74680	AL2G34570
AT1G29280	AL1G43070
AT3G07700	AL3G19060
AT1G18640	AL1G31080
AT4G36930	AL7G13690
AT5G61110	AL8G37750
AT4G39100	AL7G11030
AT4G40042	AL7G12360
AT1G73510	AL2G33270
AT4G16160	AL7G38950
AT4G17085	AL7G37620
AT2G14870	AL3G46680
AT3G09020	AL3G20050
AT5G40350	AL7G49600
AT3G10050	AL3G21380
AT5G11480	AL6G22150
AT2G13540	AL3G45350
AT5G38630	AL7G51910
AT1G48420	AL1G55050
AT5G46060	AL8G12450
AT5G47080	AL8G11120
AT3G53370	AL5G34280
AT1G57540	AL1G67090
AT1G30450	AL1G44390
AT5G49400	AL8G23110
AT4G28270	AL7G24330
AT4G26000	AL7G26990
AT4G27140	AL7G25660
AT5G12280	AL6G23490
AT4G29400	AL7G23000
AT5G38600	AL7G51930
AT5G11490	AL6G22160
AT3G19850	AL3G33360
AT5G23010	AL6G34140
AT3G20770	AL3G34690
AT1G74690	AL2G34580
AT1G29270	AL1G43060
AT3G07710	AL3G19070
AT3G44220	AL5G22290
AT5G61100	AL8G37740
AT4G16155	AL7G38960
AT4G39090	AL7G11020
AT1G73500	AL2G33260
AT4G36920	AL7G13680
AT4G17080	AL7G37630
AT5G24110	AL6G35470
AT5G01840	AL6G10190
AT4G05170	AL6G48770
AT5G38610	AL7G51920
AT5G40340	AL7G49610
AT3G09030	AL3G20060
AT3G10060	AL3G21390
AT1G48410	AL1G55040
AT3G53360	AL5G34270
AT4G26050	AL7G26940
AT5G01890	AL6G10140
AT5G02230	AL6G11470
AT5G22980	AL6G34110
AT5G24090	AL6G35440
AT3G07720	AL3G19080
AT4G39990	AL7G12300
AT1G73540	AL2G33290
AT4G36080	AL7G14960
AT4G05160	AL6G48760
AT5G11470	AL6G22130
AT2G01330	AL5G10290
AT3G09032	AL3G20070
AT5G12900	AL6G23460
AT3G53350	AL5G34260
AT2G39480	AL4G36870
AT5G51410	AL8G25710
AT5G24100	AL6G35450
AT5G01900	AL6G10130
AT2G46735	AL4G46200
AT3G19860	AL3G33380
AT5G22990	AL6G34120
AT5G03440	AL6G12790
AT3G44200	AL5G22270
AT2G47940	AL4G47530
AT1G73530	AL2G33280
AT4G36090	AL7G14950
AT4G17090	AL7G37610
AT5G38640	AL7G51900
AT5G12910	AL6G23470
AT4G05150	AL6G48750
AT3G54530	AL5G35580
AT3G53340	AL5G34250
AT5G51430	AL8G25720
AT4G26020	AL7G26960
AT4G28300	AL7G24300
AT2G46740	AL4G46210
AT3G44190	AL5G22260
AT5G24070	AL6G35420
AT3G18730	AL3G32080
AT5G46100	AL8G12410
AT2G27940	AL4G22280
AT4G40010	AL7G12320
AT4G16180	AL7G38910
AT5G12880	AL6G23440
AT4G05130	AL6G48740
AT3G09035	AL3G20090
AT3G54520	AL5G35570
AT4G12480	AL6G47410
AT5G11450	AL6G22110
AT2G21190	AL4G10290
AT3G54510	AL5G35560
AT3G53320	AL5G34230
AT2G38340	AL4G35570
AT4G26030	AL7G26950
AT4G27180	AL7G25620
AT5G25110	AL6G36760
AT5G01881	AL6G10152
AT5G24080	AL6G35430
AT5G02240	AL6G11480
AT3G45090	AL5G23580
AT5G22970	AL6G34100
AT3G18720	AL3G32070
AT5G01880	AL6G10154
