AT1G56060	CARHR045780
AT1G75140	CARHR068470
AT5G39590	CARHR262700
AT3G56770	CARHR166930
AT3G05725	CARHR080180
AT5G02190	CARHR211170
AT4G29870	CARHR237780
AT2G47590	CARHR142990
AT2G44180	CARHR139340
AT4G01935	CARHR249750
AT2G46375	CARHR141650
AT2G47580	CARHR142980
AT4G16640	CARHR223140
AT2G42950	CARHR138010
AT4G00335	CARHR248420
AT3G05720	CARHR080170
AT3G30730	CARHR056490
AT4G02460	CARHR250730
AT3G29100	CARHR152300
AT4G17750	CARHR224470
AT3G42180	CARHR153630
AT3G04910	CARHR079190
AT1G77300	CARHR070780
AT4G28610	CARHR236400
AT3G18110	CARHR093420
AT5G02270	CARHR211100
AT4G29830	CARHR237730
AT5G40760	CARHR213760
AT5G42100	CARHR212430
AT3G54390	CARHR164300
AT2G46390	CARHR141670
AT3G56810	CARHR166960
AT2G46380	CARHR141660
AT3G56820	CARHR166970
AT3G08010	CARHR082760
AT2G45080	CARHR140330
AT3G06810	CARHR081430
AT2G44190	CARHR139350
AT4G01960	CARHR249720
AT4G17695	CARHR224420
AT5G13010	CARHR200450
AT5G11450	CARHR201780
AT4G02430	CARHR250700
AT5G20930	CARHR191920
AT3G42630	CARHR153640
AT5G44265	CARHR178940
AT5G45070	CARHR177610
AT3G46720	CARHR154970
AT5G42090	CARHR212440
AT5G40740	CARHR213770
AT5G02260	CARHR211110
AT4G29820	CARHR237720
AT3G55560	CARHR165620
AT5G23950	CARHR189610
AT2G46400	CARHR141680
AT2G45120	CARHR140350
AT3G08030	CARHR082770
AT2G42975	CARHR138030
AT1G65680	CARHR140340
AT3G06830	CARHR081440
AT4G01950	CARHR249730
AT3G04860	CARHR079130
AT4G02440	CARHR250710
AT4G00310	CARHR248400
AT5G11440	CARHR201790
AT3G05670	CARHR080110
AT5G13000	CARHR200460
AT4G17690	CARHR224410
AT5G22930	CARHR190600
AT5G20920	CARHR191930
AT3G42640	CARHR153650
AT5G02250	CARHR211120
AT4G29850	CARHR237750
AT3G19370	CARHR094770
AT3G29180	CARHR152340
AT5G42110	CARHR212450
AT4G28640	CARHR236420
AT5G40730	CARHR213780
AT3G16850	CARHR092110
AT2G45130	CARHR140360
AT3G54420	CARHR164320
AT1G74045	CARHR067190
AT4G17720	CARHR224440
AT3G55605	CARHR165660
AT3G06840	CARHR081450
AT3G04870	CARHR079140
AT4G16610	CARHR223110
AT3G54430	CARHR164330
AT2G42980	CARHR138040
AT4G18890	CARHR225770
AT3G56840	CARHR166990
AT2G44210	CARHR139370
AT5G12990	CARHR200470
AT3G05675	CARHR080120
AT3G08040	CARHR082780
AT5G20940	CARHR191900
AT3G29170	CARHR152330
AT5G02240	CARHR211130
AT4G29840	CARHR237740
AT3G29185	CARHR152350
AT3G44940	CARHR151020
AT3G50930	CARHR153680
AT5G40720	CARHR213790
AT3G16840	CARHR092100
AT2G33270	CARHR127290
AT3G18130	CARHR093430
AT3G19360	CARHR094760
AT1G74040	CARHR067180
AT2G45140	CARHR140370
AT3G55570	CARHR165640
AT3G54400	CARHR164310
AT4G18880	CARHR225760
AT4G17710	CARHR224430
AT3G56830	CARHR166980
AT3G04880	CARHR079150
AT2G44220	CARHR139380
AT5G12980	CARHR200480
AT4G16600	CARHR223100
AT3G08490	CARHR082790
AT2G42990	CARHR138050
AT3G06850	CARHR081460
AT3G05680	CARHR080130
AT5G20935	CARHR191910
AT5G44260	CARHR178950
AT3G44960	CARHR151010
AT5G44240	CARHR178990
AT3G42860	CARHR152360
AT5G46580	CARHR175000
AT4G29905	CARHR237810
AT2G45160	CARHR140380
AT5G23910	CARHR189650
AT5G25170	CARHR188320
AT3G55620	CARHR165680
AT5G12920	CARHR200530
AT3G54450	CARHR164350
AT3G53250	CARHR163020
AT4G18950	CARHR225830
AT4G17780	CARHR224500
AT4G01840	CARHR249800
AT2G43000	CARHR138060
AT2G44230	CARHR139390
AT4G29900	CARHR237800
AT5G42070	CARHR212500
AT5G20890	CARHR191960
AT5G22900	CARHR190630
AT5G45660	CARHR176320
AT5G44250	CARHR178980
AT2G33260	CARHR127270
AT5G42050	CARHR212520
AT4G18930	CARHR225810
AT2G45170	CARHR140390
AT3G53150	CARHR163000
AT5G23900	CARHR189660
AT3G54440	CARHR164340
AT5G25160	CARHR188330
AT5G11390	CARHR201870
AT5G12900	CARHR200540
AT3G55610	CARHR165670
AT4G18940	CARHR225820
AT5G26742	CARHR187000
AT4G01850	CARHR249810
AT5G22890	CARHR190640
AT3G16830	CARHR092090
AT5G45630	CARHR176350
AT5G46560	CARHR175020
AT2G33255	CARHR127260
AT5G02160	CARHR211200
AT5G42030	CARHR212530
AT5G45040	CARHR177680
AT4G28710	CARHR236500
AT2G05630	CARHR103290
AT5G23940	CARHR189620
AT3G53240	CARHR163040
AT5G23930	CARHR189630
AT2G43020	CARHR138080
AT3G54470	CARHR164370
AT2G25910	CARHR115280
AT1G08780	CARHR008700
AT5G20910	CARHR191940
AT5G22920	CARHR190610
AT2G33250	CARHR127250
AT5G46570	CARHR175010
AT2G34490	CARHR128580
AT4G29910	CARHR237820
AT3G42880	CARHR152390
AT5G02150	CARHR211210
AT2G43040	CARHR138090
AT5G23920	CARHR189640
AT3G54460	CARHR164360
AT4G17785	CARHR224510
AT3G55630	CARHR165690
AT4G19003	CARHR225840
AT5G11360	CARHR201890
AT5G12890	CARHR200560
AT2G26550	CARHR115270
AT5G22910	CARHR190620
AT2G33230	CARHR127240
AT3G16800	CARHR092050
AT5G14320	CARHR199010
AT3G05625	CARHR080070
AT5G11420	CARHR201810
AT5G26594	CARHR187030
AT3G05620	CARHR080060
AT5G23870	CARHR189690
AT3G54490	CARHR164390
AT2G26570	CARHR115260
AT3G18070	CARHR093390
AT1G08800	CARHR008720
AT3G16810	CARHR092060
AT2G33220	CARHR127230
AT5G14310	CARHR199020
AT2G34460	CARHR128560
AT3G18050	CARHR093370
AT2G35650	CARHR129890
AT3G05630	CARHR080080
AT2G05620	CARHR103280
AT5G26570	CARHR187040
AT3G28680	CARHR190680
AT3G54480	CARHR164380
AT3G53235	CARHR163050
AT1G08790	CARHR008710
AT3G18060	CARHR093380
AT2G25110	CARHR116580
AT5G40710	CARHR213800
AT2G34470	CARHR128550
AT2G05580	CARHR103250
AT3G44290	CARHR104580
AT5G25150	CARHR188340
AT5G20870	CARHR191980
AT5G22880	CARHR190650
AT3G53220	CARHR163080
AT5G23890	CARHR189670
AT1G21310	CARHR021700
AT1G07620	CARHR007410
AT5G40700	CARHR213810
AT1G08820	CARHR008740
AT2G26310	CARHR115240
AT5G46530	CARHR175050
AT5G14330	CARHR199000
AT5G12940	CARHR200510
AT2G34450	CARHR128540
AT5G22875	CARHR190660
AT2G26300	CARHR115230
AT5G20860	CARHR191990
AT5G12930	CARHR200520
AT3G53230	CARHR163070
AT5G23880	CARHR189680
AT5G26667	CARHR187020
AT5G40690	CARHR213820
AT1G08810	CARHR008730
AT1G07615	CARHR007400
AT5G30520	CARHR116560
AT2G35635	CARHR129860
AT3G44326	CARHR104560
AT5G14285	CARHR199050
AT3G28580	CARHR286700
AT1G34200	CARHR033710
AT2G33205	CARHR127200
AT2G34440	CARHR128530
AT1G08840	CARHR008760
AT5G26330	CARHR187070
AT1G07640	CARHR007430
AT2G05540	CARHR103240
AT1G58320	CARHR284190
AT1G34210	CARHR033720
AT2G25130	CARHR116540
AT1G55960	CARHR045700
AT1G21326	CARHR021710
AT3G53210	CARHR163090
AT1G08830	CARHR008750
AT1G07630	CARHR007420
AT5G14300	CARHR199030
AT2G35620	CARHR129840
AT1G58340	CARHR284180
AT1G17500	CARHR018100
AT1G07645	CARHR007450
AT1G06515	CARHR006120
AT1G08860	CARHR008780
AT5G25110	CARHR188380
AT5G22870	CARHR190690
AT1G19920	CARHR020410
AT1G21350	CARHR021740
AT3G44330	CARHR104550
AT5G14290	CARHR199040
AT5G58360	CARHR272190
AT1G34190	CARHR033700
AT1G18780	CARHR019420
AT1G08845	CARHR008770
AT1G07650	CARHR007440
AT5G26340	CARHR187060
AT1G75630	CARHR020400
AT1G21340	CARHR021730
AT1G06500	CARHR006110
AT1G21380	CARHR021770
AT1G18800	CARHR019450
AT3G28570	CARHR286740
AT2G15580	CARHR105850
AT1G17520	CARHR018120
AT2G35615	CARHR129820
AT5G58350	CARHR272180
AT5G14250	CARHR199090
AT1G34260	CARHR033750
AT1G06520	CARHR006140
AT1G34270	CARHR033760
AT1G07700	CARHR007470
AT1G76150	CARHR069700
AT1G19950	CARHR020430
AT1G21370	CARHR021760
AT1G54070	CARHR044400
AT1G56020	CARHR045750
AT3G44340	CARHR104530
AT1G58360	CARHR284150
AT1G17510	CARHR018110
AT2G35612	CARHR129810
AT1G31800	CARHR031100
AT1G66465	CARHR057710
AT1G34300	CARHR033770
AT1G06510	CARHR006130
AT2G24270	CARHR117830
AT1G54080	CARHR044410
AT1G56010	CARHR045740
AT1G19940	CARHR020420
AT1G21360	CARHR021750
AT1G17540	CARHR018140
AT1G19970	CARHR020460
AT1G58370	CARHR284140
AT2G35610	CARHR129800
AT1G18835	CARHR019470
AT2G15560	CARHR105830
AT5G59880	CARHR273490
AT5G14270	CARHR199070
AT1G34220	CARHR033730
AT1G65840	CARHR057700
AT1G07710	CARHR007490
AT1G06550	CARHR006160
AT1G21390	CARHR021780
AT1G17530	CARHR018130
AT1G18810	CARHR019460
AT3G44350	CARHR104510
AT2G15570	CARHR105840
AT5G14260	CARHR199080
AT1G34245	CARHR033740
AT1G06530	CARHR006150
AT1G07705	CARHR007480
AT4G09100	CARHR260170
AT3G28510	CARHR286780
AT1G19960	CARHR020440
AT1G55970	CARHR045720
AT1G54200	CARHR044570
AT1G77380	CARHR070860
AT1G74055	CARHR067210
AT1G17680	CARHR018280
AT1G75210	CARHR068540
AT1G76310	CARHR069870
AT3G18170	CARHR093500
AT3G19430	CARHR094830
AT5G59770	CARHR273350
AT5G58220	CARHR272020
AT5G58210	CARHR272010
AT1G31920	CARHR031260
AT1G56420	CARHR055230
AT4G16590	CARHR223090
AT4G00305	CARHR248390
AT4G39670	CARHR247060
AT3G08530	CARHR082840
AT3G06890	CARHR081510
AT3G28630	CARHR286670
AT5G59220	CARHR285320
AT1G53030	CARHR043250
AT4G09010	CARHR260020
AT1G77390	CARHR070870
AT1G75200	CARHR068530
AT1G54210	CARHR044580
AT1G17665	CARHR018270
AT2G26230	CARHR103400
AT4G28600	CARHR236390
AT3G19420	CARHR094820
AT4G27390	CARHR235060
AT5G59760	CARHR273340
AT5G59750	CARHR273330
AT5G58200	CARHR272000
AT3G08550	CARHR082850
AT3G04930	CARHR079210
AT1G31930	CARHR031270
AT4G39660	CARHR247070
AT3G06910	CARHR081520
AT5G59230	CARHR285310
AT5G40600	CARHR261360
AT5G39600	CARHR262690
AT1G56130	CARHR045880
AT4G09000	CARHR260010
AT1G77400	CARHR070880
AT5G40620	CARHR261340
AT5G49770	CARHR259020
AT1G53000	CARHR043220
AT3G18190	CARHR093520
AT1G76300	CARHR069850
AT4G27420	CARHR235090
AT1G56423	CARHR055200
AT4G02425	CARHR250690
AT5G60970	CARHR274660
AT5G62200	CARHR275990
AT5G59740	CARHR273320
AT3G08560	CARHR082860
AT1G65060	CARHR056540
AT3G06920	CARHR081530
AT1G31885	CARHR031240
AT5G60060	CARHR055210
AT3G04940	CARHR079220
AT3G05730	CARHR080200
AT1G75180	CARHR068510
AT5G39610	CARHR262680
AT4G00300	CARHR248370
AT4G39680	CARHR247040
AT5G59240	CARHR285300
AT5G40610	CARHR261350
AT5G40630	CARHR261330
AT1G56145	CARHR045890
AT1G77405	CARHR070890
AT1G53010	CARHR043230
AT1G17690	CARHR018290
AT1G76280	CARHR069840
AT4G27410	CARHR235080
AT3G18180	CARHR093510
AT5G62190	CARHR275980
AT5G60960	CARHR274640
AT1G31910	CARHR031250
AT5G62180	CARHR275970
AT3G08570	CARHR082870
AT3G06930	CARHR081540
AT5G59730	CARHR273310
AT1G65040	CARHR056530
AT3G05740	CARHR080210
AT2G13810	CARHR104700
AT1G75170	CARHR068500
AT4G39675	CARHR247050
AT1G74090	CARHR067250
AT1G75250	CARHR068580
AT5G40640	CARHR261320
AT1G53050	CARHR043280
AT1G77330	CARHR070820
AT4G28570	CARHR236360
AT4G29790	CARHR237690
AT5G62170	CARHR275960
AT4G03560	CARHR251990
AT5G60950	CARHR274630
AT3G08500	CARHR082800
AT4G16566	CARHR223050
AT4G01995	CARHR249680
AT4G39700	CARHR247020
AT4G17660	CARHR224380
AT3G22570	CARHR259010
AT1G74080	CARHR067240
AT1G75240	CARHR068570
AT5G40645	CARHR261310
AT2G36530	CARHR130820
AT1G53060	CARHR043290
AT5G02310	CARHR211070
AT4G28560	CARHR236350
AT1G77350	CARHR070830
AT5G60940	CARHR274620
AT2G47410	CARHR142800
AT4G17650	CARHR224370
AT4G16563	CARHR223040
AT4G01990	CARHR249690
AT4G00295	CARHR248360
AT4G39690	CARHR247030
AT3G08505	CARHR082810
AT5G39660	CARHR262630
AT1G76340	CARHR069890
AT1G74070	CARHR067230
AT1G54215	CARHR044590
AT1G53035	CARHR043260
AT4G27380	CARHR235050
AT1G77360	CARHR070840
AT4G28590	CARHR236380
AT5G02290	CARHR211080
AT4G39720	CARHR247000
AT4G03540	CARHR251970
AT5G62165	CARHR275940
AT5G60930	CARHR274610
AT1G65090	CARHR056580
AT2G47420	CARHR142810
AT4G02020	CARHR249660
AT1G76320	CARHR069880
AT5G39670	CARHR262620
AT1G53040	CARHR043270
AT1G75220	CARHR068550
AT5G02280	CARHR211090
AT3G19400	CARHR094800
AT1G77370	CARHR070850
AT4G39710	CARHR247010
AT4G03550	CARHR251980
AT2G47430	CARHR142820
AT5G60920	CARHR274600
AT1G31940	CARHR031290
AT5G62160	CARHR275930
AT3G08510	CARHR082830
AT4G17670	CARHR224390
AT3G06880	CARHR081500
AT4G02010	CARHR249670
AT4G16570	CARHR223060
AT3G43970	CARHR248340
AT3G17000	CARHR092250
AT5G02390	CARHR211020
AT2G36560	CARHR130850
AT5G02000	CARHR212350
AT3G18230	CARHR093580
AT4G31070	CARHR238980
AT4G28540	CARHR236320
AT2G03070	CARHR213680
AT5G39680	CARHR262610
AT3G56680	CARHR166800
AT4G02030	CARHR249640
AT3G05810	CARHR080260
AT4G00231	CARHR248310
AT4G17616	CARHR224340
AT4G18810	CARHR225670
AT5G62150	CARHR275920
AT5G13100	CARHR200370
AT2G47440	CARHR142830
AT3G06980	CARHR081590
AT4G03510	CARHR251950
AT3G04970	CARHR079280
AT2G36570	CARHR130860
AT3G18220	CARHR093570
AT3G16990	CARHR092240
AT5G02370	CARHR211030
AT4G28530	CARHR236310
AT5G01010	CARHR212360
AT4G31060	CARHR238970
AT5G40840	CARHR213690
AT1G74120	CARHR067280
AT4G03520	CARHR251960
AT4G17615	CARHR224330
AT4G02040	CARHR249650
AT2G47450	CARHR142840
AT3G05820	CARHR080270
AT2G46225	CARHR141510
AT5G62140	CARHR275910
AT5G13090	CARHR200380
AT3G04980	CARHR079290
AT2G44040	CARHR139200
AT4G27360	CARHR235010
AT4G28556	CARHR236340
AT1G74110	CARHR067270
AT3G17020	CARHR092270
AT5G02380	CARHR211040
AT2G36580	CARHR130870
AT5G01015	CARHR212370
AT3G05830	CARHR080290
AT4G02060	CARHR249620
AT2G47460	CARHR142850
AT2G46250	CARHR141520
AT4G02405	CARHR250600
AT5G13080	CARHR200390
AT5G44340	CARHR178800
AT3G30530	CARHR153500
AT4G17640	CARHR224360
AT4G18823	CARHR225690
AT3G17030	CARHR092280
AT2G44050	CARHR139210
AT4G28550	CARHR236330
AT4G27350	CARHR235000
AT1G74100	CARHR067260
AT3G17010	CARHR092260
AT1G75260	CARHR068590
AT3G56690	CARHR166810
AT5G01020	CARHR212380
AT4G31080	CARHR238990
AT2G47470	CARHR142860
AT2G44060	CARHR139220
AT4G17620	CARHR224350
AT2G46260	CARHR141530
AT4G02050	CARHR249630
AT2G44970	CARHR140200
AT4G18820	CARHR225680
AT2G36610	CARHR130890
AT3G46440	CARHR154860
AT3G16940	CARHR092210
AT3G18210	CARHR093540
AT5G01960	CARHR212310
AT4G29735	CARHR237610
AT3G19440	CARHR094870
AT5G37790	CARHR214970
AT2G47485	CARHR142880
AT3G56700	CARHR166840
AT5G13140	CARHR200330
AT3G08580	CARHR082880
AT4G20130	CARHR226960
AT2G46270	CARHR141540
AT3G06950	CARHR081550
AT4G02075	CARHR249600
AT3G05750	CARHR080220
AT5G11560	CARHR201660
AT4G18780	CARHR225630
AT5G10310	CARHR202990
AT5G21070	CARHR191800
AT3G46790	CARHR154870
AT2G25160	CARHR237600
AT3G18200	CARHR093530
AT3G16920	CARHR092200
AT4G31000	CARHR238930
AT5G01970	CARHR212320
AT2G47490	CARHR142890
AT3G06960	CARHR081560
AT4G02070	CARHR249610
AT4G18770	CARHR225620
AT3G05760	CARHR080230
AT5G13130	CARHR200340
AT3G08590	CARHR082890
AT4G20110	CARHR226950
AT5G11550	CARHR201670
AT5G21060	CARHR191810
AT5G44320	CARHR178810
AT4G31050	CARHR238960
AT5G01980	CARHR212330
AT4G29750	CARHR237630
AT3G19460	CARHR094890
AT4G28520	CARHR236300
AT5G40860	CARHR213660
AT2G32280	CARHR126090
AT3G16980	CARHR092230
AT5G02410	CARHR211000
ATCG00810	CARHR141570
AT3G55480	CARHR165530
AT2G44980	CARHR140240
AT4G17600	CARHR224320
AT4G18800	CARHR225650
AT3G56740	CARHR166870
AT3G04950	CARHR079260
AT2G44080	CARHR139250
AT4G20150	CARHR226980
AT5G11540	CARHR201680
AT5G13120	CARHR200350
AT1G09010	CARHR008900
AT5G45100	CARHR177510
AT5G02400	CARHR211010
AT3G19450	CARHR094880
AT4G31040	CARHR238950
AT3G30775	CARHR153560
AT5G01990	CARHR212340
AT5G40850	CARHR213670
AT4G29740	CARHR237620
AT3G18215	CARHR093550
AT3G16950	CARHR092220
AT2G46300	CARHR141580
AT2G44990	CARHR140250
AT3G56710	CARHR166850
AT4G18790	CARHR225640
AT3G56720	CARHR166860
AT3G05800	CARHR080250
AT4G20140	CARHR226970
AT5G13110	CARHR200360
AT2G44100	CARHR139260
AT5G11530	CARHR201690
AT4G17610	CARHR224310
AT3G06970	CARHR081580
ATMG00820	CARHR251900
AT3G46780	CARHR154880
AT3G29060	CARHR152240
AT3G32930	CARHR153570
AT5G40790	CARHR213720
AT5G44310	CARHR178870
AT5G45080	CARHR177540
AT4G18830	CARHR225700
AT5G13070	CARHR200400
AT2G46310	CARHR141590
AT2G45000	CARHR140260
AT3G54300	CARHR164230
AT5G24060	CARHR189530
AT5G25280	CARHR188200
AT5G11480	CARHR201740
AT4G18840	CARHR225710
AT1G08900	CARHR008800
AT5G40800	CARHR213710
AT3G29070	CARHR152250
AT3G32940	CARHR153580
AT2G33385	CARHR127390
AT2G45010	CARHR140270
AT3G54280	CARHR164210
AT3G55500	CARHR165550
AT5G11470	CARHR201750
AT5G24030	CARHR189540
AT3G54290	CARHR164220
AT5G13050	CARHR200420
AT2G22795	CARHR114080
AT2G32140	CARHR177520
AT5G20990	CARHR191850
AT5G45750	CARHR176230
AT2G32260	CARHR126050
AT3G29075	CARHR152260
AT4G29810	CARHR237710
AT2G33380	CARHR127380
AT5G44300	CARHR178890
AT5G24090	CARHR189500
AT5G13030	CARHR200430
AT3G54340	CARHR164250
AT4G17680	CARHR224400
AT2G22790	CARHR114070
AT3G55520	CARHR165580
AT2G44120	CARHR139290
AT5G21050	CARHR191820
AT5G40770	CARHR213750
AT5G45090	CARHR177550
AT2G32250	CARHR126040
AT5G45760	CARHR176220
AT4G29800	CARHR237700
AT2G45040	CARHR140290
AT5G24080	CARHR189510
AT5G13020	CARHR200440
AT3G55515	CARHR165570
AT5G24070	CARHR189520
AT2G22780	CARHR114060
AT3G54320	CARHR164240
AT5G11460	CARHR201770
AT2G25840	CARHR115390
AT1G08910	CARHR008810
AT5G23030	CARHR190500
AT5G21040	CARHR191830
AT2G32240	CARHR126030
AT2G33360	CARHR127360
AT3G29130	CARHR152280
AT5G45720	CARHR176250
AT3G05727	CARHR080190
AT2G05810	CARHR103390
AT2G22770	CARHR114050
AT3G54360	CARHR164270
AT5G24000	CARHR189570
AT1G21410	CARHR021800
AT1G08930	CARHR008840
AT3G16900	CARHR092180
AT1G07720	CARHR007510
AT2G32235	CARHR126020
AT2G33350	CARHR127350
AT5G45740	CARHR176240
AT2G34585	CARHR128680
AT3G29090	CARHR152290
AT1G34350	CARHR033800
AT2G04160	CARHR102070
AT5G11520	CARHR201700
AT2G22760	CARHR114040
AT5G20950	CARHR191890
AT3G55530	CARHR165590
AT3G54350	CARHR164260
AT5G25240	CARHR188250
AT3G16890	CARHR092170
AT2G33340	CARHR127340
AT2G34580	CARHR128670
AT5G45700	CARHR176270
AT5G11510	CARHR201710
AT1G18860	CARHR019510
AT5G24010	CARHR189550
AT5G20980	CARHR191860
AT2G22750	CARHR114030
AT3G54380	CARHR164290
AT2G25870	CARHR115360
AT1G08960	CARHR008860
AT5G23000	CARHR190530
AT1G06590	CARHR006200
AT1G07740	CARHR007530
AT2G34570	CARHR128660
AT5G45710	CARHR176260
AT2G05790	CARHR103380
AT5G11500	CARHR201720
AT2G35740	CARHR129990
AT1G18850	CARHR019500
AT2G33330	CARHR127330
AT5G20970	CARHR191870
AT5G11490	CARHR201730
AT5G24020	CARHR189560
AT1G21430	CARHR021810
AT1G07725	CARHR007520
AT5G40810	CARHR213700
AT2G22740	CARHR114020
AT1G08940	CARHR008850
AT3G16910	CARHR092190
AT5G45680	CARHR176290
AT1G34370	CARHR033830
AT1G17600	CARHR018200
AT1G18880	CARHR019530
AT2G13820	CARHR104680
AT2G33320	CARHR127320
AT2G34560	CARHR128650
AT2G35736	CARHR129980
AT1G08980	CARHR008880
AT1G07745	CARHR007550
AT5G22940	CARHR190590
